,Date,Veicoli,V media[km/h],(%)TGM M.P.,(%)Velocità M.P.,TGM Leggeri,(%)TGM Leggeri M.P.,TGM Pesanti,(%)TGM Pesanti M.P.,Andamento da Gennaio(%),Andamento da Gennaio Leggeri,Andamento da Gennaio Pesanti
0,Gennaio,"7217,707067234974","57,65610348248921","0,0","0,0","5296,147579254444","0,0","1921,5594879805287","0,0","0,0","0,0","0,0"
1,Febbraio,"8146,024362570699","57,075178204351275","12,861664884542812","-1,0075694385319744","5894,333284870461","11,294732570504106","2251,691077700237","17,18039913854874","12,861664884542819","11,294732570504124","17,18039913854875"
2,Marzo,"8079,563423609914","57,512866425057936","-0,8158696316470593","0,7668626441069915","5763,482766948421","-2,2199375501535723","2316,080656661492","2,8596098105526435","11,940860834978551","8,824059010828492","20,531301328359447"
3,Aprile,"8622,413757810817","57,684439787673","6,718807759025669","0,298321703089921","6038,68497091144","4,7749288944040735","2583,7287868993753","11,556079857066992","19,46195207827921","14,020330448599893","34,45999476262671"
4,Maggio,"7498,226025397752","56,73852200652836","-13,03797015533722","-1,639814453648858","5101,319067775994","-15,522682631247886","2396,9069576217585","-7,230705878453048","3,8865384193299235","-3,6786835820363706","24,737588017157776"
5,Giugno,"7630,576668012743","56,358032365841744","1,7650927321568588","-0,6706019600631108","5025,515533719209","-1,4859594753760974","2605,0611342935345","8,68428271735291","5,720232158658874","-5,109979310156106","35,57015281537471"
6,Luglio,"8860,361146099152","56,25599953505774","16,116533934344","-0,1810439905383321","5966,9839859943","18,733768624496584","2893,3771601048516","11,067533963632116","22,758669249976393","12,666497613616187","50,574425522764244"
7,Agosto,"9561,967748631565","56,88514238492193","7,918487643602434","1,118356895378092","6535,847145521661","9,533512422064415","3026,120603109903","4,587837522027072","32,47929930598656","23,407572159115205","57,48253551547435"
